ship_date,ship_name,passenger_list
1891-01-27,Ramese The Great,"{""passengers"":[""Mr. Reeves"",""Mr. Mason"",""Mr. J. H. Hartman"",""Mrs. J. H. Hartman"",""Mr. J. E. Laidley"",""Mrs. J. E. Laidley"",""Mr. J. W. Clegg"",""Mrs. J. W. Clegg"",""Mr. Walter Showell"",""Mrs. Walter Showell"",""Miss Kate Showell"",""Mr. J. B. Showell"",""Mr. W. Showell Jr."",""Mr. J. Elliman"",""Mrs. Elliman"",""Col. Warner"",""Mr. Hutchinson"",""Mr. Cook"",""Mr. Watson"",""Mrs. Judson"",""Mrs. Cook"",""Miss Boncherett"",""Miss Blissard"",""Rev. J. Blissard"",""Miss Duckworth"",""Miss W. Duckworth"",""Maid"",""Courier"",""Mr. E. G. Raphael"",""Lt Col. W. Jackson"",""Mr. H. Lewis"",""Mrs. Lewis"",""Maid"",""Mr. Dodge"",""Mrs. Dodge"",""Miss Cox"",""Mr. R. Degener"",""Mr. A. Hanswaldt"",""Miss M. Blanchard"",""Miss H. Blanchard"",""Mr. L. Samuel"",""Mrs. L. Samuel"",""Mr. H. Heldman"",""Mr. Hoffnung"",""Mrs. Hoffnung"",""Miss Hoffnung"",""Maid"",""Mrs. A. F. Cochran"",""Miss A. C. Cochran"",""Miss F. A. Cochran"",""Mr. J. Dick"",""Mrs. J. Dick"",""Mr. J. Simpson"",""Mrs. J. Simpson"",""Miss Mc Donald"",""Mrs. Reed"",""Miss Reed"",""Mr. Brown"",""Mrs. Brown"",""Miss Wilson"",""Miss Ives"",""Mr. B. P. Davis"",""Marquis de Loys Chandier"",""Marquise de Loys Chandier"",""Mr. W. M. Staniford"",""Mr. A. Thackeray"",""Rev. J. Findlay"",""Mr. Agens"",""Mr. Agens"",""Mr. E. F. Elkan"",""Mrs. E. F. Elkan"",""Dr. Otto Elkan"",""Herr Bela von Deutsoh"",""Dr. Jul. Lederer"",""Herr Ladislaus Lederer"",""Dr. W. W. H. King""]}"
1891-02-03,Tewfik,"{""passengers"":[""Rev. J. L. Rogers"",""Mrs. J. L. Rogers"",""General Fessenden"",""Mr. C. G. Hower"",""Mrs. C. G. Hower"",""Mr. Jas Wood"",""Mrs. Jas Wood"",""Miss E. M. Wood"",""Miss L. M. Wood"",""Master L. H. Wood"",""Mrs. Pirie"",""Mr. Pirie"",""Miss Gray"",""Miss Hunter"",""Mr. C. Wigg"",""Mrs. C. Wigg"",""Miss Wigg"",""Miss Wigg"",""Mr. Mc Lean"",""Mrs. Mc Lean"",""Mr. C. G. Washburn"",""Mrs. C. G. Washburn"",""Mr. Weissm√ºller"",""Mr. A. Y. Gray"",""Mrs. A. Y. Gray"",""Miss Fox"",""Capt. Roberts"",""Mrs. Roberts"",""Mr. L. Fox"",""Mrs. L. Fox"",""Rev. C. Hankey"",""Miss B. Hankey"",""Miss E. Hankey"",""Mr. von Prittwitz Gaffron"",""Mrs. von Prillwitz Gaffron"",""Capt. Knox"",""Miss Dooley"",""Mr. Wilson"",""Mrs. Wilson"",""Miss E. E. Dana"",""Miss M. Dana"",""Rev. E. Lewis"",""Mr. G. Hay"",""Mr. E. Speyer"",""Miss L. Speyer"",""Maid"",""Yalet"",""Mr. Jeanson"",""Mrs. Jeanson"",""Mr. C. P. Bacon"",""Mrs. C. P. Bacon"",""Miss Carnegie"",""Miss Ramsey"",""Maid""]}"
1890-01-07,Prince Abbas,"{""passengers"":[""Miss Drew"",""Captain Morris"",""Mr. J. Morris"",""Mrs. Bedel"",""Miss Richardson"",""Miss Johnson"",""Mr. Joseph Craven M.P."",""Mr.Alfred Illingworth M.P."",""Mr. Briggs Priestley M.P."",""Doctor Armitage"",""Mrs. Armitage"",""Mr. Armitage"",""Miss Armitage"",""Mr. H. G. M. Conybeare"",""Mrs. Conybeare"",""Mr. C. A. V. Conybeare M.P."",""Mr. Schreiner"",""Mr. Newberry"",""Mrs. Steward"",""Mr. J. Spencer Balfour M.P."",""Mr. James Balfour"",""Miss Freeman"",""Miss Bishop"",""Mr. C. W. Rogg"",""Mrs. Julia Fletcher"",""Miss Ellen Pratt"",""Mrs. C. Ferris"",""Mr. Morris"",""Mrs. J. R. Greaves"",""Mr. Sisson"",""Mrs. Sisson"",""Miss Sisson"",""Miss Crane"",""Mr. J. Carlson"",""Mrs. Carlson""]}"
1890-01-28,Tewfik,"{""passengers"":[""Mr. Charles Gairdner"",""Mrs. Gairdner"",""Mr. Gairdner"",""Miss Gairdner"",""Miss Edith Hunter"",""Miss Ruth Hunter"",""Mr. R. Boyle"",""Mrs Boyle"",""Mr. Faber"",""Mr. Faber"",""Mr. Vonwiller"",""Mr. I. Fryer"",""Mr. W. Harvey"",""Mr. H. Gourlay"",""Miss M. B. Gourlay"",""Miss A. T. Gourlay"",""Miss A. H. Gourlay"",""Miss I. A. Gourlay"",""Mrs. Crane"",""Miss Crane"",""Mr. E. B. Woodhead"",""Mrs. Mackinlay"",""Mrs. A. B. Barnes"",""Mr. Mackinlay"",""Mr. H. R. Wilson"",""Mrs. Wilson"",""Miss Wilson"",""Mr. Stewart"",""Mrs. C. P. Redmond"",""Miss Tuft"",""Mrs. M Neale"",""Miss M Neale"",""Miss Ball"",""Mr. I. Orlowski"",""Mr. I. Matzner"",""Dr. I. L. Heinemann""]}"
1890-03-04,Rameses The Great,"{""passengers"":[""Miss J. B. Havemeyer"",""Miss G. M. B. Roberts"",""Mr. Matheson"",""Mrs. Matheson"",""Mias Robson"",""Mrs. Martin Atken"",""Miss Martin Atken"",""Mr. Harwood"",""Mrs. Harwood"",""Mr. Ernest Hofmeier"",""Mr Pirie"",""Mrs. Pirie"",""Capt. Wood"",""Dr. Burgess"",""Mrs. Burgess"",""Mr. Spalding"",""Mr. J. D. Clough"",""Mr. John Clough"",""Mr. George Watkinson"",""Mr. Ramsdon"",""Gen. Sir E. Selby Smyth"",""Mr. Rosenthal"",""Mrs. Rosenthal"",""Mr. A. Cass Canfield"",""Mrs. Cass Canfield"",""Mr. J. W. Beckwith"",""Mr. Rogier"",""Count Crenneville"",""Mrs. Mc Lean"",""Master Mc Lean"",""Mr G. S. Norton"",""Miss Stevens"",""Mr. Wallenstein"",""Mr. John M. Cook"",""Mrs. Cook"",""Miss Cook"",""Miss F. B. E. Cook"",""Mr. Cayzer"",""Mrs. Cayzer"",""Miss Cayzer"",""Miss Graham"",""Mr. Holst"",""Mrs. Holst"",""Mr. W. E. Kingsford"",""Mr. Prudden"",""Mrs. Prudden"",""Mr. F. K. Lynch"",""Mr. Bradbury"",""Mrs. Bradbury"",""General Francis"",""Mr. John Gould"",""Mr. A. H. Rowe"",""Mr. Hill"",""Mr. Bedell Grant""]}"
1900-02-13,Rameses The Great,"{""passengers"":[""Mr. R. N. Stevens"",""Mrs. Stevens"",""Mrs. C. A. Guillaume"",""Maid"",""Miss Theresa Grundgens"",""Mr. Nils Thanlow"",""Miss A. Thanlow"",""Miss J. Thanlow"",""Miss C. Thanlow"",""Miss J. Dedicher"",""Admiral Garr"",""Mr. V. K. Armitage"",""Mrs. Armitage"",""Miss Cross"",""Dr. Alfred Hodgson"",""Mons. Jules Roquet"",""Madame M. Duval"",""Rev. S. E. Dawson"",""Mrs. Dawson"",""Mr. G. Topham"",""Mrs. Topham"",""Mr. Paul Schuffelhauer"",""Mrs. Schuffelhauer"",""Mr. Tracey Dows"",""Valet"",""Mr. Wheeler"",""Valet"",""Mr. Richard Thorn"",""Mr. Lawrence Dunham"",""Mrs. Dunham"",""Miss A. Pitfield"",""Mr. Whitehead"",""Mr. James Herriot"",""Mr. R. Goodall"",""Mr. Chas Gaunt"",""Valet"",""Mr. F. C. Caffin"",""Mrs. J. Firth"",""Mr. W. Birkmyre"",""Miss Thompson"",""Miss Cross"",""Miss Bush"",""Mr. J. Scantlebury"",""Miss R. Scantlebury"",""Mrs. Boyd"",""Miss Boase"",""Miss E. Mc. Lellan"",""Miss M. Mckenzie"",""Mr. J. S. Sydenham"",""Mrs. Colls"",""Miss Colls"",""Miss A. M. Colls"",""Mr. I. G. Meissner"",""Mr. E. J. King Junr"",""Mrs. King"",""Maid"",""Mons. Adolf Marburg"",""Madame Marburg"",""Mr. Gnastalla"",""Mrs. Gnastalla"",""Miss Gnastalla"",""Master Gnastalla""]}"
1911-11-07,Egypt,"{""passengers"":[""Miss F. J. Mitchell"",""Miss A. S. Bond"",""Miss F. K. G. Skinner"",""Count Faust de Fontana"",""Countess De Fontana"",""Miss De Fontana"",""Mr G. B. Testa"",""Mr. M. Coppo"",""Dr. H. Hallopeau"",""Mr. A. Hallopeau"",""Mr. Luhrs Junr."",""Mrs. Luhrs"",""Mr. H. Manfield M. P."",""Mrs. H. Manfield"",""Maid"",""Mr. H. Feeny"",""Mrs. H. Feeny"",""Mr. C. L. Smith"",""Mrs. Smith"",""Judge Van Horne"",""Mrs. Van Horne"",""Mr. S. J. Sill"",""Mrs. S. J. Sill""]}"
1891-02-24,Rameses,"{""passengers"":[""Mr. Pritchett"",""Mrs. Pritchett"",""Mr. Macintosh"",""Mrs. Macintosh"",""Miss Sparrow"",""Miss Sparrow‚Äôs Maid"",""Mr. A. Sparrow"",""Mr. Westmacott"",""Mrs. Westmacott"",""Maid"",""Miss Fowke"",""Mr. Jas. Weston"",""Mr. Garrard"",""Mrs. Garrard"",""Mr. E. G. Mason"",""Mr. R. B. Mason"",""Mr. B. G. Miller"",""Miss Grawhall"",""Miss Grawhall"",""Mrs. Ross"",""Miss Ross"",""Mr. Boutron"",""Mrs. Boutron"",""Mr. Boutron jr."",""Mr. Dumont"",""Canon Payne"",""Miss Payne"",""Mr. E. J. Force"",""Mr. C. O. West"",""M. le Compte de Mons"",""Miss E. Pratt"",""Count van den Steen"",""Count F. van den Steen"",""Mr. W. R. Cookson"",""Mr. Hungerford"",""Mrs. Hungerford"",""Mrs. Rosa"",""Count Toerring"",""Mr. W. Ellis"",""Mr. Boulanger"",""Mr. Muller"",""Mr. Koloszyn"",""Manservant"",""Mr. Jandenes"",""Mr. Jandenes"",""Mr. F. W. Paddock"",""Mrs. F. W"",""Paddock"",""Miss Hill"",""Capt. Cashman"",""Mrs. H. S. Dean"",""Miss Dean"",""Gen. John Blakeley"",""Mr. W. H. Lyon Mrs. Lyon"",""Mr. Lyon jun."",""Miss Lyon"",""Mr. C. F. N. Deakin"",""Mrs. Deakin"",""Mr. J. M. Cheetham."",""Mrs. Cheetham"",""Mr. Allingham"",""Mrs. Allingham"",""Capt. Roberts"",""Mr. Roberts jun."",""Viscomte de Beaumont"",""Manservant"",""Mrs. G. H. Taylor"",""Mrs. Houghtaling"",""Miss Hickok"",""Miss Houghtaling"",""Mr. D. H. Houghtaling"",""Mr. A"",""J. Taylor"",""Mr. J. H. Taylor"",""Mr. Hood"",""Mrs. Hood"",""Mr Moorhead"",""Mr. H. Ray Miller"",""Mr. W. M. Bohlen""]}"
1891-03-03,Rameses,"{""passengers"":[""Col. W. HughesHallett"",""Mr. F. A. Muzzy"",""Mons. von Biel"",""Madame von Biel"",""Mr. R. G. Brand"",""Miss L. E. Brand"",""Miss M. A. Brand"",""Maid"",""Mr. A. Nicholson"",""Mrs. Nicholson"",""Mr. Backhouse"",""Mr. Villiers"",""Miss Schott"",""Mr. King"",""Mr. King"",""Col. Fitz-George"",""Mr. Borstell"",""Mrs. Borstell"",""Mrs. A. Borchard"",""Mr. Albers"",""Mr. Steinschneider"",""Mr. Jaffé"",""Mrs. Jaffé"",""Mr. Turner"",""Mrs. Turner"",""Mr. Bliss"",""Mrs . Bliss"",""Mr. E. Lamb""]}"
1891-12-29,Rameses,"{""passengers"":[""Mr. G. E. Raum"",""Mrs. Raum"",""Dr. F. P. Wilson"",""Mr. L. Jiggi"",""Mr. L. H. Elwell"",""Mr. Cesiana"",""Mrs. Cesiana"",""Mr. T. A. Crook"",""Mrs. Crook"",""Mr. H. Gay"",""Mr. Marc"",""Mr. T. R. Plummer"",""Miss Homer"",""Miss Eldridge"",""Mr. D. M. Milton"",""Mrs. E. M. Milton"",""Mr. L. Harrison Dulles"",""Mrs. L. Harrison Dullesm"",""Rev. Dr. Mc Grath"",""Mrs. Mc Grath"",""Baroness Kottwitz"",""Madame Kennert"",""Miss Bond"",""Mr. D. Longsdon"",""Mr. W. F. Walker"",""Mr. Jago Smith"",""Mr. le Baron de Villiers du Terrage"",""M. de Staplaude"",""Baron P. d‚ÄôHauteserve"",""M. de Malestroit"",""Mr. A. Hood"",""Mr. Soderer"",""Mr. Gough"",""Mr. Bee"",""Mrs. Bee"",""Mrs. Hooper"",""Courier"",""M. A. Philippon"",""Madame Philippon"",""Mr. Fraser Rae"",""Mrs. Fraser Rae"",""Madame Villebois"",""Mademoiselle Villebois"",""Mr. Adolf Fidelmann"",""Mrs. Adolf Fidelmann"",""Miss Symonds"",""Miss Pope"",""Major Kemble"",""Mr. Mortimer Harris"",""Mr. J. Davidson"",""Mrs. Davidson"",""Mr. Colgate"",""Mrs. Colgate"",""Mr. J. E. Bott"",""Mademoiselle A. De Syran"",""Madlle. Vera de Koukoushkine"",""Mr. R. W. Beaumont R. N."",""Mrs. Beaumont"",""Mrs. Ritchie"",""Miss Ritchie"",""Mr. W. Simpson"",""Mrs. Simpson"",""Mr. Simpson Junior"",""Mr. Stokes"",""Mr. J. H. Crook""]}"
1892-01-09,Amenartas,"{""passengers"":[""Mr. Simon"",""Madame Simon"",""Miss Marten"",""Miss Rucker"",""Miss E. Marten"",""Miss R. E. Powell"",""Dr. Anderson"",""Mrs. Anderson"",""Maid"",""Mrs. Appletree"",""Miss Appletree"",""Doctor Taylor"",""Mr. Murrell"",""Rev. G.H.W.L.Ross"",""Herr P. J. von Manteuffel"",""Mr. Lockman"",""Miss Lockman"",""Miss Clarke"",""Miss R. Clarke"",""Miss H. Clarke"",""Mrs. Chas. Hewett"",""Mr. Douglas Hewett"",""Mons. A. Farinelli""]}"
1892-01-14,Tewfik,"{""passengers"":[""Mrs Sullivan"",""Miss Sullivan"",""Mr. Reid"",""Mrs. Reid"",""Miss M. Reid"",""Miss C. Reid"",""Miss N. Reid"",""Rev. S. Chapman"",""Mrs. Chapman"",""Mr. L. Cans"",""Mrs. Gans"",""Mr. Harris"",""Mrs. D. Callaghan"",""Miss M. H. Callaghan"",""Miss M. B. Callaghan"",""Miss G. Callaghan"",""Miss I. S. Callaghan"",""Mr. Bryson"",""Mrs. Bryson"",""Mr. James"",""Mrs. James"",""Miss James"",""Mr. Kempson"",""Mrs. Ivempson"",""Rev. Howell"",""Mrs. Howell"",""Mr. Watt"",""Mrs. Watt"",""Mr. E. Marx"",""Mr. Goldschmidt"",""Mr. C. Frankel"",""Dr. A. F. Antell"",""Dr. H. Hildebrand"",""Mr. Nathaniel Hone"",""Mrs. Nathaniel Hone"",""Alderman W. Cook"",""Mr. Cook Junr"",""Mr. H. B. Sale""]}"
1892-01-23,Nefertari,"{""passengers"":[""Mr. Platt"",""Miss Platt"",""Rev. G. Akehurst"",""Count de Natte"",""Count de Ducfort"",""Lieutenant Kraemer"",""Madme Kraemer"",""Mrs. Moore"",""Miss Moore"",""Miss Sing"",""Mr. Sing"",""Mr. H. Norman"",""Mrs. Norman"",""Mr. Seton Carr"",""Mrs. Knowles"",""Rev. Padfield""]}"
1892-02-09,Rameses,"{""passengers"":[""Mr. C. M. Montgomerie"",""Lord Dynevor"",""Valet"",""Mr. G. M. Montgomerie"",""Dr. Hindes"",""Mr. Mortimer Harris"",""Mr. R. Pauling"",""Lord Boston"",""Lady Boston"",""Maid"",""Valet"",""Mr. R. P. Page"",""Mr. Rabbits"",""Mrs. Rabbits"",""Mr. Guillain"",""Mr. Berseville"",""Lady Clara Rayleigh"",""Honorable Chas. Strutt"",""Mr. Pain"",""Mrs. Pain"",""Mr. Smith"",""Mr. Ball"",""Mrs. Ball"",""Mrs. Smith"",""Mrs. Cutting"",""Miss Smith"",""Miss Cutting"",""Lord de Ramsey"",""Lady de Ramsey"",""Maid"",""Miss Nicoll"",""Miss F. Nicoll"",""Miss A. Nicoll"",""Miss Jearems"",""Mr. Crewdson"",""Mrs. Crewdson"",""Mr. J. G. Fleming"",""Mrs. Fleming"",""Mr. W. S. Rowntree"",""Mr. J. H. Rowntree"",""Colonel Parry"",""Mr. Meyer"",""Marquis Champagne"",""Sir John Llewellyn"",""Lady Llewellyn"",""Mr. Llewellyn"",""Miss Llewellyn"",""Mr. T. Franklin"",""Mrs. Franklin"",""Miss Franklin"",""Maid"",""Count Bubna"",""Mr. Serstevens"",""Hon. Crosby Noyes"",""Mr. Fowler"",""Mrs. Fowler"",""Master Fowler"",""Mr. A. O. Parkin"",""Mrs. Eccles"",""Miss Eccles"",""Mr. Sinton"",""Mr. Hartree"",""Vice Admiral The Hon. W. J. Ward"",""Mr. Rosner"",""Mr. Rosenstock"",""Mrs. Rosenstock"",""Mr. Fleming"",""Mons. E. Grebert"",""Col. Howard"",""Mrs. Howard"",""Miss du Puy Wilder"",""Count Diodati"",""Doctor E. Cohn"",""Mrs. Cohn"",""Mr. Stewart"",""Mrs. Stewart"",""Miss Stewart""]}"
1892-02-13,La Normandie,"{""passengers"":[""Mr. ROBERT"",""W. PATERSON"",""MR. JOHN R. TOLAR"",""Mr. G. P. LORD"",""Mrs. G. P. LORD"",""Prof. JUDGE DURHAM"",""Mr. J. CHAS. DICKEN"",""Mr. D. W. LAWRENCE"",""Mr. R. B. LAWRENCE"",""Mr. J. A. NELSON"",""Mr. E. C. SHAW"",""Mrs. E. C. SHAW"",""Master SHAW"",""Mr. W. P. WINANS"",""Mrs. W. P. WINANS"",""Mr. C. A. RICH"",""Mrs. C. A. RICH"",""Mr. SIMON J. LOEWENTHAL"",""Mr. O. C. ASHTON.""]}"
1892-02-16,Mohammed Ali,"{""passengers"":[""Mr. Howard Cramp"",""Mr. W. F. Hirons"",""Mr. J. C. Thomas Junr."",""Mr. Jay Cooke (3rd)"",""Mr. G. B. Woodman"",""Mrs. Woodman"",""Mr. H. G. Woodman"",""Mrs. Cottrell Dormer"",""Miss Cottrell Dormer"",""Maid"",""Mr. Gibson"",""Dr. Wickham"",""Dr. Norrie"",""Miss Norrie"",""Miss S. Norrie"",""Mr. R. W. Wilkinson"",""Mrs. Wilkinson"",""Mr. W. E. Thompson"",""Mrs. L. M. Rice"",""Mr. W. E. Mc Kee"",""Mrs. Mc Kee"",""Sir Philip Mainwaring"",""Lady Mainwaring"",""Mr. Wight"",""Mrs. Wight"",""Mrs. C. Phelps"",""Miss Phelps"",""Mrs. W. Jacomb"",""Mrs. Danvers"",""Mr. R. Danvers"",""Capt. Britten"",""Mrs. Britten"",""Mr. A. Duncan"",""Miss Entwistle"",""Mr. Rolls"",""Mrs. Rolls"",""Miss Rolls"",""Maid"",""Madame Massieu"",""Madame Cros"",""Mr. H. A. Harper"",""Lady E. Harper"",""Miss E. Harper"",""Mr. Zuckermandel"",""Mr. Hamouy"",""Mrs. Hamony"",""M. Paul Brichet"",""Miss Gibson"",""Maid""]}"
1892-02-23,Rameses The Great,"{""passengers"":[""Mr. S. Thomas"",""Mrs. Thomas"",""Mr. G. H. Smith"",""Mrs. Smith"",""Miss Smith"",""Mr. H. S. Webster"",""Mrs. Webster"",""Mr. Edouard Sens"",""Mrs. Edouard Sens"",""Miss Sens"",""Mr. T. Chofecki"",""Mrs. F. H. Slade"",""Miss M. Slade"",""Mr. F. L. Slade"",""Master W. Slade"",""Miss G. Gingrich"",""Mr. W. S. Gilbert"",""Mrs. Gilbert"",""Maid"",""Mr. F. B. Hubbell"",""Rev. J. P. Lewis"",""Mr. Merton"",""Mrs. Merton"",""Maid"",""Mrs C. Tunnicliffe"",""Mr. Wallace"",""Mrs. Wallace"",""Mr. Eckersley"",""Mr. F. E. Eckersley"",""Mr. W. H. Ramsden"",""Mr. H. Kirkpatrick"",""Mr. J. H. Coit"",""Mr. J. Knox Tibbett"",""Col. von Thumen"",""Mrs. von Thumen"",""Mr. Lee"",""Mr. R. Clough"",""Miss Clough"",""Miss Clough"",""Miss Cleveland"",""Mrs. Simpson"",""Mr. A. T. Layton"",""Mr. J. Layton"",""Miss Hill"",""Miss L. Hill"",""Maid"",""Count Gizycki"",""Mr. Theodor Hammerle"",""Mrs. Hammerle"",""Mr. S. Morris"",""Mr. A. S. Munns"",""Mr. Clarke"",""Mr. Chas. Clarke"",""Mr. Harvey Clarke"",""Miss Agnes Clarke"",""Miss Ellen Clarke"",""Miss Adela Clarke"",""Mr. Wilkinson"",""Mrs. Wilkinson"",""Mr. Mortimer Harris"",""Mr. Love"",""Mrs. Love"",""Mr. J. G. Robinson"",""Mrs. Robinson"",""Mr. J. R. Mc Cune"",""Mr. Bentley"",""Mrs. Bentley"",""Mr. Alex. Cross"",""Master Cross"",""Master Cross"",""Mr. Byrne"",""Mrs Byrne"",""M. Michau"",""Madme michau""]}"
1892-02-25,Tewfik,"{""passengers"":[""Mrs. Kinsley"",""Miss Butt"",""Dr. Russell"",""Mrs. Russell"",""Mr. Reginald Barratt"",""Mrs. Reginald Barratt"",""Mrs. Manley Sims"",""Mr. Huntley"",""Mr. Magnus"",""Mrs. Magnus"",""Mr. Longfield"",""Mrs. Longfield"",""Mrs. Ford"",""Maid"",""Mr. Spalding"",""Count A. F. Krasinski"",""Doctor Dmochowski"",""Valet"",""Mr. Paul Parey"",""Mr. E. Puls"",""Mr. Gillett"",""Dr. Dettweiler"",""Herr Springer"",""Count de Villa Gonzalo"",""Mr. Gonzales"",""Miss E. Abrisch"",""Miss A. Abrisch"",""Mr. Nestle"",""Mr. Gille""]}"
1897-12-11,Hatasoo,"{""passengers"":[""Mr. Forsyth"",""Miss Forsyth"",""Mrs. Inglis"",""Miss Castleman"",""Miss A. Wiles"",""Miss M. Lucas"",""Mr. Louis Reibold"",""Mr. A. J. Soutar"",""Major-General C. Sim"",""Mrs. Sim"",""Miss Sim"",""Mrs. Dorling"",""Miss C. Roper"",""Mr. Horne"",""Mr. Tranchant""]}"